,serial_number,name,type,rarity,set
2596,29/123,Mantine,Water,Rare,Mysterious Treasures 
2597,30/123,Mr. Mime,Psychic,Rare,Mysterious Treasures 
2598,31/123,Nidoqueen,Psychic,Rare,Mysterious Treasures 
2599,32/123,Ninetales,Fire,Rare,Mysterious Treasures 
2600,33/123,Rampardos,Fighting,Rare,Mysterious Treasures 
2601,34/123,Slaking,Colorless,Rare,Mysterious Treasures 
2602,35/123,Sudowoodo,Fighting,Rare,Mysterious Treasures 
2603,36/123,Toxicroak,Psychic,Rare,Mysterious Treasures 
2604,37/123,Unown I,Psychic,Rare,Mysterious Treasures 
2605,38/123,Ursaring,Colorless,Rare,Mysterious Treasures 
2606,39/123,Walrein,Water,Rare,Mysterious Treasures 
2607,40/123,Whiscash,Water,Rare,Mysterious Treasures 
2608,41/123,Bayleef,Grass,Uncommon,Mysterious Treasures 
2609,42/123,Chingling,Psychic,Uncommon,Mysterious Treasures 
2610,43/123,Cranidos,Fighting,Uncommon,Mysterious Treasures 
2611,44/123,Croconaw,Water,Uncommon,Mysterious Treasures 
2612,45/123,Dewgong,Water,Uncommon,Mysterious Treasures 
2613,46/123,Dodrio,Colorless,Uncommon,Mysterious Treasures 
2614,47/123,Dunsparce,Colorless,Uncommon,Mysterious Treasures 
2615,48/123,Gabite,Colorless,Uncommon,Mysterious Treasures 
2616,49/123,Girafarig,Colorless,Uncommon,Mysterious Treasures 
2617,50/123,Golbat,Psychic,Uncommon,Mysterious Treasures 
2618,51/123,Graveler,Fighting,Uncommon,Mysterious Treasures 
2619,52/123,Happiny,Colorless,Uncommon,Mysterious Treasures 
2620,53/123,Lairon,Metal,Uncommon,Mysterious Treasures 
2621,54/123,Magmar,Fire,Uncommon,Mysterious Treasures 
2622,55/123,Masquerain,Grass,Uncommon,Mysterious Treasures 
2623,56/123,Nidorina,Psychic,Uncommon,Mysterious Treasures 
2624,57/123,Octillery,Water,Uncommon,Mysterious Treasures 
2625,58/123,Parasect,Grass,Uncommon,Mysterious Treasures 
2626,59/123,Pupitar,Fighting,Uncommon,Mysterious Treasures 
2627,60/123,Quilava,Fire,Uncommon,Mysterious Treasures 
2628,61/123,Sandslash,Fighting,Uncommon,Mysterious Treasures 
2629,62/123,Sealeo,Water,Uncommon,Mysterious Treasures 
2630,63/123,Shieldon,Metal,Uncommon,Mysterious Treasures 
2631,64/123,Tropius,Grass,Uncommon,Mysterious Treasures 
2632,65/123,Unown E,Psychic,Uncommon,Mysterious Treasures 
2633,66/123,Unown M,Psychic,Uncommon,Mysterious Treasures 
2634,67/123,Unown T,Psychic,Uncommon,Mysterious Treasures 
2635,68/123,Vigoroth,Colorless,Uncommon,Mysterious Treasures 
2636,69/123,Abra,Psychic,Common,Mysterious Treasures 
2637,70/123,Aipom,Colorless,Common,Mysterious Treasures 
2638,71/123,Aron,Metal,Common,Mysterious Treasures 
2639,72/123,Barboach,Water,Common,Mysterious Treasures 
2640,73/123,Bidoof,Colorless,Common,Mysterious Treasures 
2641,74/123,Bronzor,Metal,Common,Mysterious Treasures 
2642,75/123,Buizel,Water,Common,Mysterious Treasures 
2643,76/123,Chansey,Colorless,Common,Mysterious Treasures 
2644,77/123,Chikorita,Grass,Common,Mysterious Treasures 
2645,78/123,Croagunk,Psychic,Common,Mysterious Treasures 
2646,79/123,Cyndaquil,Fire,Common,Mysterious Treasures 
2647,80/123,Doduo,Colorless,Common,Mysterious Treasures 
2648,81/123,Electrike,Lightning,Common,Mysterious Treasures 
2649,82/123,Exeggcute,Grass,Common,Mysterious Treasures 
2650,83/123,Finneon,Water,Common,Mysterious Treasures 
2651,84/123,Geodude,Fighting,Common,Mysterious Treasures 
2652,85/123,Gible,Colorless,Common,Mysterious Treasures 
2653,86/123,Kricketot,Grass,Common,Mysterious Treasures 
2654,87/123,Larvitar,Fighting,Common,Mysterious Treasures 
2655,88/123,Magby,Fire,Common,Mysterious Treasures 
2656,89/123,Magikarp,Water,Common,Mysterious Treasures 
2657,90/123,Murkrow,Darkness,Common,Mysterious Treasures 
2658,91/123,Nidoran♀,Psychic,Common,Mysterious Treasures 
2659,92/123,Paras,Grass,Common,Mysterious Treasures 
2660,93/123,Pichu,Lightning,Common,Mysterious Treasures 
2661,94/123,Pikachu,Lightning,Common,Mysterious Treasures 
2662,95/123,Remoraid,Water,Common,Mysterious Treasures 
2663,96/123,Sandshrew,Fighting,Common,Mysterious Treasures 
2664,97/123,Seel,Water,Common,Mysterious Treasures 
2665,98/123,Shinx,Lightning,Common,Mysterious Treasures 
2666,99/123,Slakoth,Colorless,Common,Mysterious Treasures 
2667,100/123,Snorunt,Water,Common,Mysterious Treasures 
2668,101/123,Snover,Grass,Common,Mysterious Treasures 
2669,102/123,Spheal,Water,Common,Mysterious Treasures 
2670,103/123,Spinarak,Grass,Common,Mysterious Treasures 
2671,104/123,Surskit,Grass,Common,Mysterious Treasures 
2672,105/123,Teddiursa,Colorless,Common,Mysterious Treasures 
2673,106/123,Totodile,Water,Common,Mysterious Treasures 
2674,107/123,Vulpix,Fire,Common,Mysterious Treasures 
2675,108/123,Zubat,Psychic,Common,Mysterious Treasures 
2676,109/123,Bebe's Search,Su,Uncommon,Mysterious Treasures 
2677,110/123,Dusk Ball,T,Uncommon,Mysterious Treasures 
2678,111/123,Fossil Excavator,Su,Uncommon,Mysterious Treasures 
2679,112/123,Lake Boundary,St,Uncommon,Mysterious Treasures 
2680,113/123,Night Maintenance,T,Uncommon,Mysterious Treasures 
2681,114/123,Quick Ball,T,Uncommon,Mysterious Treasures 
2682,115/123,Team Galactic's Wager,Su,Uncommon,Mysterious Treasures 
2683,116/123,Armor Fossil,T,Common,Mysterious Treasures 
2684,117/123,Skull Fossil,T,Common,Mysterious Treasures 
2685,118/123,Multi Energy,Rainbow,Rare,Mysterious Treasures 
2686,119/123,Darkness Energy,Darkness,Uncommon,Mysterious Treasures 
2687,120/123,Metal Energy,Metal,Uncommon,Mysterious Treasures 
2688,121/123,Electivire LV.X,Lightning,NULL,Mysterious Treasures 
2689,122/123,Lucario LV.X,Fighting,NULL,Mysterious Treasures 
2690,123/123,Magmortar LV.X,Fire,NULL,Mysterious Treasures 
2691,124/123,Time-Space Distortion,T,NULL,Mysterious Treasures 
2692,1/132,Ampharos,Lightning,Rare Holo,Secret Wonders 
2693,2/132,Blastoise,Water,Rare Holo,Secret Wonders 
2694,3/132,Charizard,Fire,Rare Holo,Secret Wonders 
2695,4/132,Entei,Fire,Rare Holo,Secret Wonders 
2696,5/132,Flygon,Fighting,Rare Holo,Secret Wonders 
2697,6/132,Gallade,Fighting,Rare Holo,Secret Wonders 
2698,7/132,Gardevoir,Psychic,Rare Holo,Secret Wonders 
2699,8/132,Gastrodon,Water,Rare Holo,Secret Wonders 
2700,9/132,Gastrodon,Fighting,Rare Holo,Secret Wonders 
2701,10/132,Ho-Oh,Fire,Rare Holo,Secret Wonders 
2702,11/132,Jumpluff,Grass,Rare Holo,Secret Wonders 
2703,12/132,Lickilicky,Colorless,Rare Holo,Secret Wonders 
2704,13/132,Ludicolo,Water,Rare Holo,Secret Wonders 
2705,14/132,Lugia,Colorless,Rare Holo,Secret Wonders 
2706,15/132,Mew,Psychic,Rare Holo,Secret Wonders 
2707,16/132,Raikou,Lightning,Rare Holo,Secret Wonders 
2708,17/132,Roserade,Grass,Rare Holo,Secret Wonders 
2709,18/132,Salamence,Colorless,Rare Holo,Secret Wonders 
2710,19/132,Suicune,Water,Rare Holo,Secret Wonders 
2711,20/132,Venusaur,Grass,Rare Holo,Secret Wonders 
2712,21/132,Absol,Darkness,Rare,Secret Wonders 
2713,22/132,Arcanine,Fire,Rare,Secret Wonders 
2714,23/132,Banette,Psychic,Rare,Secret Wonders 
2715,24/132,Dugtrio,Fighting,Rare,Secret Wonders 
2716,25/132,Electivire,Lightning,Rare,Secret Wonders 
2717,26/132,Electrode,Lightning,Rare,Secret Wonders 
2718,27/132,Furret,Colorless,Rare,Secret Wonders 
2719,28/132,Golduck,Water,Rare,Secret Wonders 
2720,29/132,Golem,Fighting,Rare,Secret Wonders 
2721,30/132,Jynx,Psychic,Rare,Secret Wonders 
2722,31/132,Magmortar,Fire,Rare,Secret Wonders 
2723,32/132,Minun,Lightning,Rare,Secret Wonders 
2724,33/132,Mothim,Grass,Rare,Secret Wonders 
2725,34/132,Nidoking,Psychic,Rare,Secret Wonders 
2726,35/132,Pidgeot,Colorless,Rare,Secret Wonders 
2727,36/132,Plusle,Lightning,Rare,Secret Wonders 
2728,37/132,Sharpedo,Darkness,Rare,Secret Wonders 
2729,38/132,Sunflora,Grass,Rare,Secret Wonders 
2730,39/132,Unown S,Psychic,Rare,Secret Wonders 
2731,40/132,Weavile,Water,Rare,Secret Wonders 
2732,41/132,Wormadam,Grass,Rare,Secret Wonders 
2733,42/132,Wormadam,Fighting,Rare,Secret Wonders 
2734,43/132,Wormadam,Metal,Rare,Secret Wonders 
2735,44/132,Xatu,Psychic,Rare,Secret Wonders 
2736,45/132,Breloom,Grass,Uncommon,Secret Wonders 
2737,46/132,Charmeleon,Fire,Uncommon,Secret Wonders 
2738,47/132,Cloyster,Water,Uncommon,Secret Wonders 
2739,48/132,Donphan,Fighting,Uncommon,Secret Wonders 
2740,49/132,Farfetch'd,Colorless,Uncommon,Secret Wonders 
2741,50/132,Flaaffy,Lightning,Uncommon,Secret Wonders 
2742,51/132,Ivysaur,Grass,Uncommon,Secret Wonders 
2743,52/132,Kecleon,Colorless,Uncommon,Secret Wonders 
2744,53/132,Kirlia,Psychic,Uncommon,Secret Wonders 
2745,54/132,Lombre,Water,Uncommon,Secret Wonders 
2746,55/132,Miltank,Colorless,Uncommon,Secret Wonders 
2747,56/132,Muk,Psychic,Uncommon,Secret Wonders 
2748,57/132,Nidorino,Psychic,Uncommon,Secret Wonders 
2749,58/132,Pidgeotto,Colorless,Uncommon,Secret Wonders 
2750,59/132,Pinsir,Grass,Uncommon,Secret Wonders 
2751,60/132,Quagsire,Water,Uncommon,Secret Wonders 
2752,61/132,Raticate,Colorless,Uncommon,Secret Wonders 
2753,62/132,Roselia,Grass,Uncommon,Secret Wonders 
2754,63/132,Sableye,Darkness,Uncommon,Secret Wonders 
2755,64/132,Shelgon,Colorless,Uncommon,Secret Wonders 
2756,65/132,Skiploom,Grass,Uncommon,Secret Wonders 
2757,66/132,Smeargle,Colorless,Uncommon,Secret Wonders 
2758,67/132,Smoochum,Psychic,Uncommon,Secret Wonders 
2759,68/132,Unown K,Psychic,Uncommon,Secret Wonders 
2760,69/132,Unown N,Psychic,Uncommon,Secret Wonders 
2761,70/132,Unown O,Psychic,Uncommon,Secret Wonders 
2762,71/132,Unown X,Psychic,Uncommon,Secret Wonders 
2763,72/132,Unown Z,Psychic,Uncommon,Secret Wonders 
2764,73/132,Venomoth,Grass,Uncommon,Secret Wonders 
2765,74/132,Vibrava,Fighting,Uncommon,Secret Wonders 
2766,75/132,Wartortle,Water,Uncommon,Secret Wonders 
2767,76/132,Bagon,Colorless,Common,Secret Wonders 
2768,77/132,Bulbasaur,Grass,Common,Secret Wonders 
2769,78/132,Burmy,Grass,Common,Secret Wonders 
2770,79/132,Burmy,Grass,Common,Secret Wonders 
2771,80/132,Burmy,Grass,Common,Secret Wonders 
2772,81/132,Carvanha,Darkness,Common,Secret Wonders 
2773,82/132,Charmander,Fire,Common,Secret Wonders 
2774,83/132,Clefairy,Colorless,Common,Secret Wonders 
2775,84/132,Corsola,Water,Common,Secret Wonders 
2776,85/132,Diglett,Fighting,Common,Secret Wonders 
2777,86/132,Duskull,Psychic,Common,Secret Wonders 
2778,87/132,Electabuzz,Lightning,Common,Secret Wonders 
2779,88/132,Grimer,Psychic,Common,Secret Wonders 
2780,89/132,Growlithe,Fire,Common,Secret Wonders 
2781,90/132,Hoppip,Grass,Common,Secret Wonders 
2782,91/132,Lickitung,Colorless,Common,Secret Wonders 
2783,92/132,Lotad,Water,Common,Secret Wonders 
2784,93/132,Magmar,Fire,Common,Secret Wonders 
2785,94/132,Mareep,Lightning,Common,Secret Wonders 
2786,95/132,Murkrow,Darkness,Common,Secret Wonders 
2787,96/132,Natu,Psychic,Common,Secret Wonders 
2788,97/132,Nidoran♂,Psychic,Common,Secret Wonders 
2789,98/132,Phanpy,Fighting,Common,Secret Wonders 
2790,99/132,Pidgey,Colorless,Common,Secret Wonders 
2791,100/132,Psyduck,Water,Common,Secret Wonders 
2792,101/132,Qwilfish,Water,Common,Secret Wonders 
2793,102/132,Ralts,Psychic,Common,Secret Wonders 
2794,103/132,Rattata,Colorless,Common,Secret Wonders 
2795,104/132,Sentret,Colorless,Common,Secret Wonders 
2796,105/132,Shellder,Water,Common,Secret Wonders 
2797,106/132,Shellos,Water,Common,Secret Wonders 
2798,107/132,Shellos,Water,Common,Secret Wonders 
2799,108/132,Shroomish,Grass,Common,Secret Wonders 
2800,109/132,Shuckle,Grass,Common,Secret Wonders 
2801,110/132,Shuppet,Psychic,Common,Secret Wonders 
2802,111/132,Spinda,Colorless,Common,Secret Wonders 
2803,112/132,Squirtle,Water,Common,Secret Wonders 
2804,113/132,Stantler,Colorless,Common,Secret Wonders 
2805,114/132,Sunkern,Grass,Common,Secret Wonders 
2806,115/132,Trapinch,Fighting,Common,Secret Wonders 
2807,116/132,Venonat,Grass,Common,Secret Wonders 
2808,117/132,Voltorb,Lightning,Common,Secret Wonders 
2809,118/132,Wooper,Water,Common,Secret Wonders 
2810,119/132,Bebe's Search,Su,Uncommon,Secret Wonders 
2811,120/132,Night Maintenance,T,Uncommon,Secret Wonders 
2812,121/132,PlusPower,T,Uncommon,Secret Wonders 
2813,122/132,Professor Oak's Visit,Su,Uncommon,Secret Wonders 
2814,123/132,Professor Rowan,Su,Uncommon,Secret Wonders 
2815,124/132,Rival,Su,Uncommon,Secret Wonders 
2816,125/132,Roseanne's Research,Su,Uncommon,Secret Wonders 
2817,126/132,Team Galactic's Mars,Su,Uncommon,Secret Wonders 
2818,127/132,Potion,T,Common,Secret Wonders 
2819,128/132,Switch,T,Common,Secret Wonders 
2820,129/132,Darkness Energy,Darkness,Uncommon,Secret Wonders 
2821,130/132,Metal Energy,Metal,Uncommon,Secret Wonders 
2822,131/132,Gardevoir LV.X,Psychic,NULL,Secret Wonders 
2823,132/132,Honchkrow LV.X,Darkness,NULL,Secret Wonders 
2824,1/146,Deoxys,Psychic,Rare Holo,Legends Awakened 
2825,2/146,Dragonite,Colorless,Rare Holo,Legends Awakened 
2826,3/146,Froslass,Water,Rare Holo,Legends Awakened 
2827,4/146,Giratina,Psychic,Rare Holo,Legends Awakened 
2828,5/146,Gliscor,Fighting,Rare Holo,Legends Awakened 
2829,6/146,Heatran,Fire,Rare Holo,Legends Awakened 
2830,7/146,Kingdra,Water,Rare Holo,Legends Awakened 
2831,8/146,Luxray,Lightning,Rare Holo,Legends Awakened 
2832,9/146,Mamoswine,Water,Rare Holo,Legends Awakened 
2833,10/146,Metagross,Metal,Rare Holo,Legends Awakened 
2834,11/146,Mewtwo,Psychic,Rare Holo,Legends Awakened 
2835,12/146,Politoed,Water,Rare Holo,Legends Awakened 
2836,13/146,Probopass,Fighting,Rare Holo,Legends Awakened 
2837,14/146,Rayquaza,Colorless,Rare Holo,Legends Awakened 
2838,15/146,Regigigas,Colorless,Rare Holo,Legends Awakened 
2839,16/146,Spiritomb,Psychic,Rare Holo,Legends Awakened 
2840,17/146,Yanmega,Grass,Rare Holo,Legends Awakened 
2841,18/146,Armaldo,Fighting,Rare,Legends Awakened 
2842,19/146,Azelf,Psychic,Rare,Legends Awakened 
2843,20/146,Bellossom,Grass,Rare,Legends Awakened 
2844,21/146,Cradily,Grass,Rare,Legends Awakened 
2845,22/146,Crawdaunt,Water,Rare,Legends Awakened 
2846,23/146,Delcatty,Colorless,Rare,Legends Awakened 
2847,24/146,Deoxys,Psychic,Rare,Legends Awakened 
2848,25/146,Deoxys,Psychic,Rare,Legends Awakened 
2849,26/146,Deoxys,Psychic,Rare,Legends Awakened 
2850,27/146,Ditto,Colorless,Rare,Legends Awakened 
2851,28/146,Forretress,Metal,Rare,Legends Awakened 
2852,29/146,Groudon,Fighting,Rare,Legends Awakened 
2853,30/146,Heatran,Metal,Rare,Legends Awakened 
2854,31/146,Jirachi,Metal,Rare,Legends Awakened 
2855,32/146,Kyogre,Water,Rare,Legends Awakened 
2856,33/146,Lopunny,Colorless,Rare,Legends Awakened 
2857,34/146,Mesprit,Psychic,Rare,Legends Awakened 
2858,35/146,Poliwrath,Water,Rare,Legends Awakened 
2859,36/146,Regice,Water,Rare,Legends Awakened 
2860,37/146,Regigigas,Colorless,Rare,Legends Awakened 
2861,38/146,Regirock,Fighting,Rare,Legends Awakened 
2862,39/146,Registeel,Metal,Rare,Legends Awakened 
2863,40/146,Shedinja,Grass,Rare,Legends Awakened 
2864,41/146,Torkoal,Fire,Rare,Legends Awakened 
2865,42/146,Unown !,Psychic,Rare,Legends Awakened 
2866,43/146,Uxie,Psychic,Rare,Legends Awakened 
2867,44/146,Victreebel,Grass,Rare,Legends Awakened 
2868,45/146,Vileplume,Grass,Rare,Legends Awakened 
2869,46/146,Anorith,Fighting,Uncommon,Legends Awakened 
2870,47/146,Camerupt,Fire,Uncommon,Legends Awakened 
2871,48/146,Castform,Colorless,Uncommon,Legends Awakened 
2872,49/146,Castform,Water,Uncommon,Legends Awakened 
2873,50/146,Castform,Water,Uncommon,Legends Awakened 
2874,51/146,Castform,Fire,Uncommon,Legends Awakened 
2875,52/146,Dragonair,Colorless,Uncommon,Legends Awakened 
2876,53/146,Drifblim,Psychic,Uncommon,Legends Awakened 
2877,54/146,Exeggutor,Psychic,Uncommon,Legends Awakened 
2878,55/146,Gliscor,Fighting,Uncommon,Legends Awakened 
2879,56/146,Grumpig,Psychic,Uncommon,Legends Awakened 
2880,57/146,Houndoom,Fire,Uncommon,Legends Awakened 
2881,58/146,Lanturn,Water,Uncommon,Legends Awakened 
2882,59/146,Lanturn,Lightning,Uncommon,Legends Awakened 
2883,60/146,Ledian,Grass,Uncommon,Legends Awakened 
2884,61/146,Lucario,Fighting,Uncommon,Legends Awakened 
2885,62/146,Luxio,Lightning,Uncommon,Legends Awakened 
2886,63/146,Marowak,Fighting,Uncommon,Legends Awakened 
2887,64/146,Metang,Metal,Uncommon,Legends Awakened 
2888,65/146,Metang,Metal,Uncommon,Legends Awakened 
2889,66/146,Mightyena,Darkness,Uncommon,Legends Awakened 
2890,67/146,Ninjask,Grass,Uncommon,Legends Awakened 
2891,68/146,Persian,Colorless,Uncommon,Legends Awakened 
2892,69/146,Piloswine,Water,Uncommon,Legends Awakened 
2893,70/146,Seadra,Water,Uncommon,Legends Awakened 
2894,71/146,Starmie,Water,Uncommon,Legends Awakened 
2895,72/146,Swalot,Psychic,Uncommon,Legends Awakened 
2896,73/146,Swellow,Colorless,Uncommon,Legends Awakened 
2897,74/146,Tauros,Colorless,Uncommon,Legends Awakened 
2898,75/146,Tentacruel,Water,Uncommon,Legends Awakened 
2899,76/146,Unown J,Psychic,Uncommon,Legends Awakened 
2900,77/146,Unown R,Psychic,Uncommon,Legends Awakened 
2901,78/146,Unown U,Psychic,Uncommon,Legends Awakened 
2902,79/146,Unown V,Psychic,Uncommon,Legends Awakened 
2903,80/146,Unown W,Psychic,Uncommon,Legends Awakened 
2904,81/146,Unown Y,Psychic,Uncommon,Legends Awakened 
2905,82/146,Unown ?,Psychic,Uncommon,Legends Awakened 
2906,83/146,Beldum,Metal,Common,Legends Awakened 
2907,84/146,Beldum,Metal,Common,Legends Awakened 
2908,85/146,Bellsprout,Grass,Common,Legends Awakened 
2909,86/146,Buneary,Colorless,Common,Legends Awakened 
2910,87/146,Chinchou,Water,Common,Legends Awakened 
2911,88/146,Chinchou,Lightning,Common,Legends Awakened 
2912,89/146,Corphish,Water,Common,Legends Awakened 
2913,90/146,Cubone,Fighting,Common,Legends Awakened 
2914,91/146,Dratini,Colorless,Common,Legends Awakened 
2915,92/146,Drifloon,Psychic,Common,Legends Awakened 
2916,93/146,Exeggcute,Psychic,Common,Legends Awakened 
2917,94/146,Gligar,Fighting,Common,Legends Awakened 
2918,95/146,Gligar,Fighting,Common,Legends Awakened 
2919,96/146,Gloom,Grass,Common,Legends Awakened 
2920,97/146,Gloom,Psychic,Common,Legends Awakened 
2921,98/146,Gulpin,Psychic,Common,Legends Awakened 
2922,99/146,Hitmonchan,Fighting,Common,Legends Awakened 
2923,100/146,Hitmonlee,Fighting,Common,Legends Awakened 
2924,101/146,Hitmontop,Fighting,Common,Legends Awakened 
2925,102/146,Horsea,Water,Common,Legends Awakened 
2926,103/146,Houndour,Darkness,Common,Legends Awakened 
2927,104/146,Ledyba,Grass,Common,Legends Awakened 
2928,105/146,Lileep,Grass,Common,Legends Awakened 
2929,106/146,Meowth,Colorless,Common,Legends Awakened 
2930,107/146,Misdreavus,Psychic,Common,Legends Awakened 
2931,108/146,Nincada,Grass,Common,Legends Awakened 
2932,109/146,Nosepass,Fighting,Common,Legends Awakened 
2933,110/146,Numel,Fire,Common,Legends Awakened 
2934,111/146,Oddish,Grass,Common,Legends Awakened 
2935,112/146,Oddish,Psychic,Common,Legends Awakened 
2936,113/146,Pineco,Grass,Common,Legends Awakened 
2937,114/146,Poliwag,Water,Common,Legends Awakened 
2938,115/146,Poliwhirl,Water,Common,Legends Awakened 
2939,116/146,Poochyena,Darkness,Common,Legends Awakened 
2940,117/146,Riolu,Fighting,Common,Legends Awakened 
2941,118/146,Shinx,Lightning,Common,Legends Awakened 
2942,119/146,Skitty,Colorless,Common,Legends Awakened 
2943,120/146,Sneasel,Darkness,Common,Legends Awakened 
2944,121/146,Spoink,Psychic,Common,Legends Awakened 
2945,122/146,Staryu,Water,Common,Legends Awakened 
2946,123/146,Swinub,Water,Common,Legends Awakened 
2947,124/146,Taillow,Colorless,Common,Legends Awakened 
2948,125/146,Tentacool,Water,Common,Legends Awakened 
2949,126/146,Tyrogue,Fighting,Common,Legends Awakened 
2950,127/146,Weepinbell,Grass,Common,Legends Awakened 
2951,128/146,Yanma,Grass,Common,Legends Awakened 
2952,129/146,Bubble Coat,T,Uncommon,Legends Awakened 
2953,130/146,Buck's Training,Su,Uncommon,Legends Awakened 
2954,131/146,Cynthia's Feelings,Su,Uncommon,Legends Awakened 
2955,132/146,Energy Pickup,T,Uncommon,Legends Awakened 
2956,133/146,Poké Radar,T,Uncommon,Legends Awakened 
2957,134/146,Snowpoint Temple,St,Uncommon,Legends Awakened 
2958,135/146,Stark Mountain,St,Uncommon,Legends Awakened 
2959,136/146,Technical Machine TS-1,T,Uncommon,Legends Awakened 
2960,137/146,Technical Machine TS-2,T,Uncommon,Legends Awakened 
2961,138/146,Claw Fossil,T,Common,Legends Awakened 
2962,139/146,Root Fossil,T,Common,Legends Awakened 
2963,140/146,Azelf LV.X,Psychic,NULL,Legends Awakened 
2964,141/146,Gliscor LV.X,Fighting,NULL,Legends Awakened 
2965,142/146,Magnezone LV.X,Metal,NULL,Legends Awakened 
2966,143/146,Mesprit LV.X,Psychic,NULL,Legends Awakened 
2967,144/146,Mewtwo LV.X,Psychic,NULL,Legends Awakened 
2968,145/146,Rhyperior LV.X,Fighting,NULL,Legends Awakened 
2969,146/146,Uxie LV.X,Psychic,NULL,Legends Awakened 
2970,1/100,Dusknoir,Psychic,Rare Holo,Stormfront 
2971,2/100,Empoleon,Metal,Rare Holo,Stormfront 
2972,3/100,Infernape,Fighting,Rare Holo,Stormfront 
2973,4/100,Lumineon,Water,Rare Holo,Stormfront 
2974,5/100,Magnezone,Metal,Rare Holo,Stormfront 
2975,6/100,Magnezone,Lightning,Rare Holo,Stormfront 
2976,7/100,Mismagius,Psychic,Rare Holo,Stormfront 
2977,8/100,Raichu,Lightning,Rare Holo,Stormfront 
2978,9/100,Regigigas,Colorless,Rare Holo,Stormfront 
2979,10/100,Sceptile,Grass,Rare Holo,Stormfront 
2980,11/100,Torterra,Fighting,Rare Holo,Stormfront 
2981,12/100,Abomasnow,Water,Rare,Stormfront 
2982,13/100,Bronzong,Psychic,Rare,Stormfront 
2983,14/100,Cherrim,Grass,Rare,Stormfront 
2984,15/100,Drapion,Darkness,Rare,Stormfront 
2985,16/100,Drifblim,Psychic,Rare,Stormfront 
2986,17/100,Dusknoir,Psychic,Rare,Stormfront 
2987,18/100,Gengar,Psychic,Rare,Stormfront 
2988,19/100,Gyarados,Water,Rare,Stormfront 
2989,20/100,Machamp,Fighting,Rare,Stormfront 
2990,21/100,Mamoswine,Fighting,Rare,Stormfront 
2991,22/100,Rapidash,Fire,Rare,Stormfront 
2992,23/100,Roserade,Psychic,Rare,Stormfront 
2993,24/100,Salamence,Colorless,Rare,Stormfront 
2994,25/100,Scizor,Grass,Rare,Stormfront 
2995,26/100,Skuntank,Darkness,Rare,Stormfront 
2996,27/100,Staraptor,Colorless,Rare,Stormfront 
2997,28/100,Steelix,Metal,Rare,Stormfront 
2998,29/100,Tangrowth,Grass,Rare,Stormfront 
2999,30/100,Tyranitar,Darkness,Rare,Stormfront 
3000,31/100,Vespiquen,Grass,Rare,Stormfront 
3001,32/100,Bibarel,Water,Uncommon,Stormfront 
3002,33/100,Budew,Psychic,Uncommon,Stormfront 
3003,34/100,Dusclops,Psychic,Uncommon,Stormfront 
3004,35/100,Dusclops,Psychic,Uncommon,Stormfront 
3005,36/100,Electrode,Lightning,Uncommon,Stormfront 
3006,37/100,Electrode,Lightning,Uncommon,Stormfront 
3007,38/100,Farfetch'd,Colorless,Uncommon,Stormfront 
3008,39/100,Grovyle,Grass,Uncommon,Stormfront 
3009,40/100,Haunter,Psychic,Uncommon,Stormfront 
3010,41/100,Machoke,Fighting,Uncommon,Stormfront 
3011,42/100,Magneton,Metal,Uncommon,Stormfront 
3012,43/100,Magneton,Lightning,Uncommon,Stormfront 
3013,44/100,Miltank,Colorless,Uncommon,Stormfront 
3014,45/100,Pichu,Lightning,Uncommon,Stormfront 
3015,46/100,Piloswine,Fighting,Uncommon,Stormfront 
3016,47/100,Pupitar,Fighting,Uncommon,Stormfront 
3017,48/100,Sableye,Darkness,Uncommon,Stormfront 
3018,49/100,Scyther,Grass,Uncommon,Stormfront 
3019,50/100,Shelgon,Colorless,Uncommon,Stormfront 
3020,51/100,Skarmory,Metal,Uncommon,Stormfront 
3021,52/100,Staravia,Colorless,Uncommon,Stormfront 
3022,53/100,Bagon,Colorless,Common,Stormfront 
3023,54/100,Bidoof,Colorless,Common,Stormfront 
3024,55/100,Bronzor,Psychic,Common,Stormfront 
3025,56/100,Cherubi,Grass,Common,Stormfront 
3026,57/100,Combee,Grass,Common,Stormfront 
3027,58/100,Drifloon,Psychic,Common,Stormfront 
3028,59/100,Duskull,Psychic,Common,Stormfront 
3029,60/100,Duskull,Psychic,Common,Stormfront 
3030,61/100,Finneon,Water,Common,Stormfront 
3031,62/100,Gastly,Psychic,Common,Stormfront 
3032,63/100,Larvitar,Fighting,Common,Stormfront 
3033,64/100,Machop,Fighting,Common,Stormfront 
3034,65/100,Magikarp,Water,Common,Stormfront 
3035,66/100,Magnemite,Metal,Common,Stormfront 
3036,67/100,Magnemite,Lightning,Common,Stormfront 
3037,68/100,Misdreavus,Psychic,Common,Stormfront 
3038,69/100,Onix,Fighting,Common,Stormfront 
3039,70/100,Pikachu,Lightning,Common,Stormfront 
3040,71/100,Ponyta,Fire,Common,Stormfront 
3041,72/100,Roselia,Psychic,Common,Stormfront 
3042,73/100,Skorupi,Grass,Common,Stormfront 
3043,74/100,Snover,Water,Common,Stormfront 
3044,75/100,Starly,Colorless,Common,Stormfront 
3045,76/100,Stunky,Darkness,Common,Stormfront 
3046,77/100,Swinub,Fighting,Common,Stormfront 
3047,78/100,Tangela,Grass,Common,Stormfront 
